,objek wisata,ulasan,atraksi,amenitas,aksesibilitas
1997,waduk gondang,Bagus,,,
2733,wego,Karna sepi jadi kurang terurus,,negatif,
2773,wego,Cocok utk wisata anak2... Berwisata sambil belajar...,positif,,
346,alun alun,Cocok untuk mengajak anak-anak bermain,positif,,
2211,wbl,"salah satu taman hiburan di Kabupaten Lamongan! ada banyak wahana yang bisa dimainkan, harga tiketnya worth it banget!",positif,,
1245,gunung mas mantup,istimewa,,,
1657,pantai kutang,Cocok buat anak-anak dan keluarga.,,,
2607,wbl,Seru... Cuman kurang terawat,negatif,,
1079,goa maharani,Asyik dan menyenangkan,positif,,
2079,waduk gondang,Mantap dah..,,,
2665,wego,Sudah beberapa kali kesana dan memang tidak membosankan pingin ksn lagi,positif,,
0,alun alun," malem kelihatan kumuh & agak horror, karena beberapa lampu taman ada yang tidak dinyalakan (yang lagi dimabuk asmara sih OK² aja mungkin yaa )

Bianglalanya selama ini belum terlihat berfungsi..",negatif,negatif,
858,goa maharani,"Tempatnya bagus, ada bird show setiap jam 11.00 bagus untuk liburan anak anak bisa melihat langsung berbagai jenis hewan.",positif,,
1887,pantai lorena,Lumayan,,,
2126,wbl,Berbagai macam wahana ada di wisata bahari lamongan yang harus anda coba. Seru bett,positif,,
2515,wbl,Keren,,,
2022,waduk gondang,Untuk menghilangkan penat dan stress ok banget,positif,,
576,alun alun,"Tempatnya sangat luas, bersih dan sangat nyaman....
",,positif,
1493,gunung pegat,Suasana malam bagus banget,positif,,
2470,wbl,Wahana nya keren dan asyik,positif,,
1733,pantai lorena,"waktu kesini airnya belum surut jadi gak bisa ke karang""",negatif,,
2033,waduk gondang,kebersihannya kurang,,negatif,
2487,wbl,Tempatnya bagus,,,
2373,wbl,Wisata Bahari Lamongan ..tempatnya sangat bagus tuk anak anak dan orang tua...bisa bersepeda di tepi laut sambil menikmati laut yg indah..buruan ya,positif,,
1342,gunung pegat,"Pemandangan nya mantap. Tapi sangat sangat disayangkan.... Sampah berserakan dimana-mana terutama PUTUNG ROKOK!!! 
Please guys, jangan sok2 nikmati alam, tapi sambil NGERUSAK alam",positif,negatif,
2264,wbl,Mantap tempatnya cocok untuk liburan tempatnya adem rame,positif,,
973,goa maharani,Tempat nya nyaman,,positif,
1395,gunung pegat,"Tempat yang nyaman...
Menyuguhkan suwasana alam. Dan wisata kuliner/pasar di puncak menyuguhkan aneka makanan ala kampung",positif,positif,
1753,pantai lorena,"Asyeek lah, murah meriah dan ... pinggir jalan  pemandangan tak kalah ciamiik",positif,,positif
2701,wego,Lumayan bagus tempat nya,positif,,
2208,wbl,Di bagian beberapa kandang hewan terlihat kurang terjaga kebersihan dan beberapa hewan kurang terawat serta sarana dan prasarana penunjang kurang diperhatikan,,negatif,
1885,pantai lorena,Asyik...murah meriah...,positif,,
1989,waduk gondang,"Tempat rekreasi keluarga yg nyaman.
Indah dan sejuk waduknya ada perahu nuat keliling waduk.
Tempat rekreasi yg ramah dikantong.",positif,positif,
1351,gunung pegat,Wisata alam terbaru dengan spot alam terbuka,positif,,
2031,waduk gondang,"Sejuk, makanan enak",positif,positif,
757,alun alun,"Tempatnya bagus, ada bianglala dan tempat bermain khusus anak-anak. Saat malam hari, ada pasar malam di sekitar alun-alun",positif,,
2779,wego,Jalan menuju ke sana rusak,,,negatif
2536,wbl,Nice Wisata,,,
1687,pantai lorena,"Pantai dengan bebatuan estetik memang menarik, tapi nampak kalah dengan sampah di pesisir yang terlihat, mohon pemerintah kota setempat serta jajaran masyarakat bisa mengedukasi ke siapapun yang mampir di pantai ini, jgn sampai lah nama paciran dan bahkan bisa jadi nama lamongan jadi jelek gara2 gak peduli akan lingkungan.. Semoga kelak menjadi lebih baik lagi paciran Lamongan setempat.. Aamiin.",positif,negatif,
1050,goa maharani,Bagus,,,
1408,gunung pegat,"Deket rumah, asri, murah, bisa sambil olah raga",positif,,
2826,wego,Fasilitas makan dan minum di objek wisata ini sangat terbatas dan tidak memadai.,,negatif,
806,alun alun,Nasi sego Boran sip....khas banget rasanya,positif,,
536,alun alun,Setelah renovasi masjid menjadi sangat bagus,,positif,
1098,goa maharani,"Nyaman bersih ramah,, dan harga tiket yg terjangkau ",,positif,positif
247,alun alun,bianglala jarang buka,negatif,,
2443,wbl,Pelayanannya baik... Banyak wahana... Mantab,positif,positif,
2369,wbl,Wisata wahana yg sangat terjangkau. Cuma wahananya masih sama dan terkesan jadul. Ga banyak foto soalnya sibuk main,negatif,,
1674,pantai kutang,Akses jalan ke Pantai Kutang yang semakin membaik membuat tempat ini semakin diminati oleh para wisatawan.,,,positif
2102,waduk gondang,Bagus utk kumpul² dan liburan bersama keluarga,positif,,
659,alun alun,Bersih dan nyaman,,positif,
1635,pantai kutang,Tempatnya lumayan bagus dan bersih dgn hargaa tiket cm Rp 5000.,,positif,
441,alun alun,playground butuh maintenance,,negatif,
1606,pantai kutang,"Bagus buat healing,  datang aja pas weekdays.",positif,,
1038,goa maharani,Tempat edukasi buat Anak....,positif,,
1892,pantai lorena,bagus sekali,,,
1924,pantai lorena,baguss,,,
1461,gunung pegat,"Hanya fasilitas toilet yang kurang ,karena hanya 2 toilet saja",,negatif,
2513,wbl,Mantap,,,
2486,wbl,kerenn sekali,,,
1197,gunung mas mantup,"Tiket masuk tergolong terjangkau, tempat bersih, banyak spot foto",positif,positif,
1054,goa maharani,Bagus,,,
668,alun alun,"Bersih...
Asri",positif,positif,
2631,wbl,Navigasi ke wisata bahari Lamongan menjadi sangat mudah berkat petunjuk arah yang jelas dan tertera di sepanjang jalan,,,positif
621,alun alun,Karna tempat yang sangat nyaman dan bersih,,positif,
2234,wbl,Wisata dekat dengan rumah saya,,,positif
2766,wego,"Owner nya harus kreatif,... Wahana msh monoton...",negatif,,
473,alun alun,Lahan parkir mobil perlu diperluas,,negatif,
2859,wbl,Kondisi jalan yang tidak rusak memudahkan kami dalam menjangkau objek wisata ini ,,,positif
1403,gunung pegat,pemandangan alamnya bagus,positif,,
1673,pantai kutang,"Kini akses jalan ke Pantai Kutang sudah mulai bagus, sehingga para wisatawan dapat dengan mudah menjangkaunya.",,,positif
113,alun alun,Nyaman buat anak anak tapi sayangnya banyak tempat main yang mulai rusak contohnya perosotan yang mulai berlubang,negatif,,
2573,wbl,"Kolam renang anak2 kurang menarik karena terlalu dangkal, terasa seperti main air saat banjir depan rumah.",negatif,,
124,alun alun,tempat nyaman juga bersih. jadi kangen main kesana,positif,positif,
231,alun alun,"bagus luas, cocok buat bawa main anak² ada buat workout juga.",positif,,
2847,wbl,"Fasilitas umum di objek wisata ini tetap bersih dan terjaga dengan baik, tidak ada tumpukan sampah atau kekotoran.",,positif,
