objek wisata,ulasan, atraksi,amenitas,aksesibilitas
wego,Sejuk tempatnya dan jadi salah satu rekomendasi healing terbaik di Lamongan selatan.,positif,,
wego,"Jalan ke WEGO kalau dari arah Timur nanjak terusss, jadi harus prepare dan selalu berhati hati.",,,negatif
wego,Tempat wisatanya nyaman. Harga makanan disana juga murah2,,positif,
wego,"MEMBOSANKAN, PANAS, JALANNYA RUSAK SEMUA, TEMPAT PERMAINANNYA SUDAH RUSAK SEPERTI TIDAK TERURUS.",negatif,,negatif
wego,Ok,,,
wbl,Tempatnya cocok buat ngajak liburan anak. Jarak dari kota Lamongan cukup jauh juga. Parkiran untuk kendaraan roda 4 luas.,positif,positif,negatif
wego,"Pesawatnya juga kurang menarik, dan ga dingin lagi dalemnya, apalagi spot fotonya, dikitt, malah kaya pasar kebanding wisata, terus juga wahananya gitu gitu aja, tambahin kalii, udah bagus tuh yang naik motor jalannya gedee, tapi buat permainan tembak tembakan tempatnya bener bener kaya gudang. Terus juga kalau bisa pulau pulau ditengah danau tuh dikasih hiasan, jangan polos cuman dikasih pohon. Tempatnya juga panas jadi kalau bisa mainnya sore aja, pokoknya kalau mau cari tempat yang bagus jangan disini deh, nanti nyesell. Soalnya ini tempatnya beneran jelek banget pribadi",negatif,,positif
wego,"Tidak begitu ramai, dan nyaman",positif,positif,
wego,"Bagus tempatnya, banyak wahana edukasinya",positif,,
wego,Jalan menuju tempat wisata bergelombang dan hampir tidak ada transportasi umum lewat sana..padahal dg akses jalan yg bagus didukung dg transportasi pendukung pasti akan tambah ramai..,,,negatif
wego,Kolam renangnya oke,,positif,
wego,"Klo kamu mau tempat penginapan beserta fasilitas lengkap berbayar yg low prices, disini sangat kami rekomendasikan. Ada jg ruang pengipanan utk keluarga besar. ",,positif,
wego,Tempat asyiik & nyaman bt liburan bareng keluarga,positif,positif,
wego,Wisata edukasi yang bagus senang sekali bisa berkunjung,positif,,
wego,"Salah satu wisata di kecamatan sugio, yg cocok utk berlibur anak anak...dan org tua.....wisata alam yg asri....silahkan di kunjungi.",positif,positif,
wego,Nyaman bersantai bersama keluarga ..,positif,positif,
wego,Lumayan,,,
wego,"Sayangnya arena lain kurang dikelola dg bersih dan terawat mau sholat dimushola air buat wudhu tdk nyala,,cuma kolam renang saja yg di rawat",,negatif,
wego,"Tiket masuknya 25.000
Gratis renang dan masuk pesawat",positif,,
wego,"Tempat yg bagus untuk keluarga, ada monumen pesawat terbang",positif,,
wego,"Lumayan tempatnya luas, makanan enak dan murah",,positif,
wego,Kolam nya ok sih,,positif,
wego,Masih perlu pengembangan,,,
wego,"Fasilitas umum sudah cukup namun fasilitas khusus masih kurang memadai, juga untuk penjagaan diadakan petugas Pemantau / keliling dengan seragam khusus agar tempat wisata tersebut dapat terverifikasi dan dilirik para wisatawan asing. Toko cinderamata sudah baik namun pemandangan seperti kandang hewan, Tugu, dan Lainnya masih kurang terjaga dengan baik.",,positif,
wego,"Wego Lamongan, sebelumnya telah membuat aku penasaran. Eh ternyata sesudah melihatnya memang bagus. Wahananya lengkap deh. Spot fotonya juga banyak. Cocok untuk anak2, remaja atau orang dewasa. Bagus deh.",positif,,
wego,"Tempat wisata alam dan edukasi anak, murah meriah",positif,,
wego,Tiket mahal 25k/kepala,negatif,,
wego,"Yang diunggulkan di tempat ini adalah kolam renangnya. Ini adalah nila plus.
Bagus untuk berlibur untuk keluarga",positif,,
wego,Sudah beberapa kali kesana dan memang tidak membosankan pingin ksn lagi,positif,,
wego,Playground yg asik,positif,,
wego,Sukaa kolam renangnya sampe g mau mentas anakq,positif,,
wego,Tempatnya asri bgt,positif,,
wego,Tempat melepas penat yang pas... ditambah pemandangan waduk Gondang asri banget,positif,,
wego,"Harga tiket masuk terjangkau, tempat wisata dan kolam renang bersih",positif,,positif
wego,"Tempat enak mungkin karna pandemi jadi sepi ya,tp nyaman tempatnya luas dan kolam renang juga bersih.",positif,,
wego,Wego merupakan tempat yg luas dan cocok untuk wisata edukasi dan berkemah,positif,,
wego,Pagi pagi gowes ke sini masuk nggak bayar karena satpam yang baik hati bolehin masuk karena blom buka,positif,,
wego,"Wego adalah tempat wisata edukasi.. Recomended bgt buat kalian yg mau bikin kegiatan survive, pramuka, sar, dll..",positif,,
wego,Sayngnya jalan becek yg di belakng,,,negatif
wego,Asri,positif,,
wego,Lumayan bagus HTM terjangkau,positif,,
wego,"Main ke wego niat meramaikan wisata lokal.. Konsep udah bagus, tapi sayang tak terawat... Masuk sini situ masih perlu beli tiket di dalam...",positif,negatif,
wego,Luar biasa,,,
wego,Cocok edukasi buat anak...,positif,,
wego,Bagus lumayanlah untuk refreshing,,,
wego,sangat senang,,,
wego,"tempatnya bagus,, ada kolam renangnya juga,",positif,,
wego,kumuh mungkin karena hbis ttup lama karena pandemi,,negatif,
wego,Suasananya nyaman cocok untuk santai bersama keluarga,positif,,
wego,Bagus untuk rekreasi ada kolam renangnya juga harga 25.000,positif,,
wego,Lumayan untuk kolam renang... Akan tetapi kotor lingkungannya,positif,negatif,
wego,Parkir kendaraan yg luas dan aman  serta terdapat area untuk istrahat makan didalam wisata.,,positif,
wego,Silahkan belanja di tempat kami,,,
wego,Asri dan asyik untuk tamasya,positif,,
wego,Tempatnya ok buat wisata keluarga,positif,,
wego,Lumayan,,,
wego,tiket masuk terlalu mahal,negatif,,
wego,Kurang terawat,,negatif,
wego,"Rimbun, sejuk, adem",positif,,
wego,tempat wisata untuk keluarga,positif,,
wego,Fasilitasnya banyak macamnya. Ada 2 musholla juga. ,,positif,
wego,Mohon untuk kamar mandinya di perbanyak ya..,,negatif,
wego,"Rame banget pas libur tahun baru
Tempat sejuk dan bersih.
Cocok buat liburan keluarga",positif,,
wego,"Jauh dari keramaian, tempatnya kurang terawat. Tiket masuk 25rb.",,negatif,negatif
wego,Lumayan bagus tempat nya,positif,,
wego,Cocok bersama keluarga,positif,,
wego,"Kalau memang menaati peraturan prokes.. mohon menyediakan air cuci tangan dan tong sampah. Kasian petugas jika harus membersihkan sampah yg berserakan.. akibat susahnya persediaan tong sampah..
Lain lain sangat menghibur untuk anak anak.
Mohon maaf jika ada salah kata",,negatif,
wego,"Cukup terjangkau, bagi keluarga ekonomi menengah ke bawah",positif,,
wego,Ayem.. sejuk tempat nya.. kolamnya juga terawat..,positif,positif,
wego,Bapak bapak mampir renang,positif,,
wego,Males aja,,,
wego,Sudah 3kali kesini gk ada bosen nya,positif,,
wego,"Kolam renang bagus, cuman wahana yg lain kurang pemeliharaan, terutama kursi pesawat terbang berkurang banyak ",positif,negatif,
wego,cocok buat refreshing,positif,,
wego,Cocok untuk wisata edukasi bagi ponakan2,positif,,
