objek wisata,ulasan,atraksi1,atraksi2,atraksi3,amenitas1,amenitas2,amenitas3,aksesibilitas1,aksesibilitas2,aksesibilitas3,hasil atraksi,hasil amenitas,hasil aksesibilitas
alun alun," malem kelihatan kumuh & agak horror, karena beberapa lampu taman ada yang tidak dinyalakan (yang lagi dimabuk asmara sih OK² aja mungkin yaa )

Bianglalanya selama ini belum terlihat berfungsi..",,negatif,negatif,negatif,negatif,,,,,negatif,negatif,
alun alun,"Pertama kali kesana itu cuaca kurang mendukung, baru duduk diayunan sebentar terus ngambil beberapa foto eh udah hujan deras tapi gapapa lah kapan kapan kesana lagi sama doi.
Banyak spot foto disana ada kincir angin besar hmm kalau di tempat saya namanya keranjang cinta gak tau kalau disana namanya apa, ada pesawat tni ad juga yang sempat saya ambil fotonya. Lalu ada bagungan yang mirip istana merdeka ekekek. Lorng yang penuh bunga juga ada meski belum sempat ambil foto karna udah hujan deras. Samping alun alun ada masjid jadi kalau yang muslim bisa solat disana atau sambil istirahat sdisana. Pinggiran alun"" banyak bapak"" penjual makanan kayak pentol dan teman""nya.
Kesana sendiri aja deh biar tau sendiri ada apa aja disana yak. Semoga saya bisa kesana lagi sama doi yang orang sana juga",,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Taman alun-alun yang bagus dan menyenangkan, cocok untuk keluarga. Lokasinya strategis ada di jantung kota Lamongan. Dekat dengan kantor bupati dan masjid raya juga. Akses kemana-mana juga mudah. ",positif,positif,positif,,,,positif,positif,positif,positif,,positif
alun alun,"Merupakan taman kota yang cocok untuk mengajak anak-anak. Banyak fasilitas permainan untuk anak-anak, namun banyak yang rusak. Ada juga wahana bianglala yang beroperasi untuk memanjakan pengunjung untuk melihat panorama kota Lamongan dari ketinggian.",,positif,positif,negatif,negatif,negatif,,,,positif,negatif,
alun alun,"Alun-alun dengan banyak fasilitas yang bisa digunakan, ada beberapa alat olahraga di sini sehingga bisa dipakai untuk berolahraga bersama keluarga, ada juga berbagai permainan yang bisa untuk membuat bahagia putra-putri kita. Hari Minggu sangat ramai dengan pengunjung karena ada banyak pedagang yang berjualan.",,,,positif,positif,positif,,,,,positif,
alun alun,Lumayan lah kalau sedang singgah sebentar di Lamongan. Sayangnya beberapa hal masih kurang terawat terutama lantai keramik trotoar yang banyak yang pecah serta mungkin agak jarang disapu.,,positif,,negatif,negatif,negatif,,,,,negatif,
alun alun,"Pertama kali kesini, diajakin someone but no bf. Ini kota dia, hehe. Bianglala nya lg gk hidup jd gak bisa naik. Kapan-kapan main kesini lagi ya, btw alun-alun nya bagus",,negatif,negatif,,,,,,,negatif,,
alun alun,"Bagus, bersih, tiap minggu pagi ada acara MinCe (Minggu Ceria) dan banyak penjual disekitar alun-alun.
Cocok untuk olahraga juga. Didekatnya ada Masjid Agung Lamongan.",positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,Alun Alun Taman yg terletak di tengah Kota LAMONGAN.  sangat cocok utk bersantai  sama Keluarga.  Terutama anak kecil dgn berbagai permainan.,positif,positif,positif,,,,,,,positif,,
alun alun,Cocok untuk tempat maen anak untuk tempat parkirnya agak susah permainannya sedikit ada yang sudah rusak,,negatif,negatif,negatif,negatif,negatif,,,,negatif,negatif,
alun alun,"Banyak tanaman, sehingga membuat nyaman dan adapula wahana untuk anak anak sehingga cocok untuk refreshing keluarga di tengah kota",,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Alun Alun yang cukup keren untuk jalan jalan bersama keluarga, ada biang lala yg saat lebaran ini masih gratis. Tempat berfoto yg cukup intagrameble ,pesawat ,gedung Pemkab yg megah ,juga tower kuno menjadi view yg menarik di alun alun Lamongan.",positif,positif,positif,,,,,,,positif,,
alun alun,Alun2 bagus. Ada burung2 dan banyak permainan. Kren Skali ada biang Lala. Kebetulan tadi naik.bianglala gratis. Cuma di kasi tiket palsu ajah.burung banyak  dan tidak penakut,positif,positif,positif,,,,,,,positif,,
alun alun,"Strategis. banyak pedagang kaki lima, ada cafe juga. Bisa makan steak, pempek.. Macem2 deh...
Harga lumayan terjangkau juga di salah satu cafenya",,positif,,positif,positif,positif,positif,positif,positif,,positif,positif
alun alun,"Tempat hiburan mulai anak-anak sampai orang tua bs bersantai, berolahraga dll. Ditunjang dg prasarana yg memadai, dekat dg masjid agung Lamongan juga,wes pokoke Josh",,,,positif,positif,positif,,,,,positif,
alun alun,"Tempatnya bagus,banyak mainan anak. Ada bianglala juga",positif,positif,positif,,,,,,,positif,,
alun alun,Wah sekian lama baru melihat wajah alun2 lamongan yg baru seperti alun2 batu Malang.. ada keranjang gantung...dan fasilitas bermain lainya..anak2 seneng..murah meriah,positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Menarik banget, ada berbagai macam alat bermain untuk anak anak, yang suka main outdoor anaknya, ajakin",positif,positif,positif,,,,,,,positif,,
alun alun,"Salah satu tempat yg hampir tiap seminggu sekali kita kunjungi. Tempatnya nyaman buat santai..buat main anak2...apalagi kalo sore menjelang maghrib.

Tpi sayang,kesadaran pengunjung dalam menjaga kebersihannya kurang. Masih banyak yg buang sampah sembarangan.",negatif,positif,positif,positif,negatif,negatif,,,,positif,negatif,
alun alun,"Sangat bagus sekali... taman bermain anak lengkap sekali, ada biang lala juga yang megah, ada monumen pesawat juga. Ada pendopo juga, air mancur juga. Recommended banget lah buat mampir",positif,positif,positif,,positif,,,,,positif,,
alun alun,Alun alunya semakin bagus. Banyak wifi gratisnya juga.,,,,positif,positif,positif,,,,,positif,
alun alun,Alun-alunnya makin keren sekarang ada banyak mainan cocok untuk liburan bareng keluarga ya bestieee murah asyik jugaaa bahagiaaa,positif,positif,positif,,,,,,,positif,,
alun alun,"Keren banget sih alun-alunnya. Banyak banget mainan untuk anak-anak, seperti ayunan, jungkat-jungkit, dll. Lalu ada bianglala nya juga, dan lampu warna warni.",positif,positif,positif,,positif,,,,,positif,,
alun alun,"Kerennn. Perpaduan cahayanya keren. Masjidnya juga nyaman. Cocok banget buat yang belum pernah ke lamongan. Untuk sekadar nyari angin, atau foto2 tempat ini cocok. Parkiran murah, aman, dekat dengan alun2. Terlebih kuliner sekitar alun2 juga banyak. Kalo ke lamongan, wajib kesini pokoknya!",positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Kirim barang tengah hujan ....melihat anak2 bermain teringat anak2 waktu kecil
Kirim galvalum",,positif,positif,,,,,,,positif,,
alun alun,Semakin indah dan nyaman buat sekedar bersantai sore ato senam pagi,positif,positif,positif,positif,,,,,,positif,,
alun alun,"Alun-alunnya luas dan ada banyak permainan anak-anak, tapi untuk fasilitas olahraganya ada beberapa yang rusak, dan sayang banget biang lalanya tutup",,positif,positif,negatif,negatif,negatif,,,,positif,negatif,
alun alun,Tempatnya bersih terawat dan banyak wahana mainan untuk anak-anak. Yang pastinya harus diawasi orang dewasa atau orang tua,,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"tempatnya enak bnyak permainn anak dan olahraga, ada komidi putar sperti di alun2 Batu, cm kurang bersih masih bny smpah…",,positif,positif,negatif,negatif,negatif,,,,positif,negatif,
alun alun,"Alun alun lamongan sebagai icon kabupaten Lamongan, tempat wisata keluarga dan juga bisa menjadi wahana tempat permainan anak. Di alun-alun lamongan juga ada sarana untuk kegiatan olahraga.",,positif,positif,positif,positif,,,,,positif,positif,
alun alun,"Tempatnya bagus bersih banyak spot foto santai sama keluarga, mainan anak juga banya pilihan",positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,Bagus skrg tertata dg rapi....paling bagus utk menghabiskan minggu pagi dg keluarga dan anak2 karna banyak mainan anak dan area yg luas dan banyak jajanan pokoknya bagus,positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Di siang hari tergolong sangat panas, tdk bnyak pohon,  bagian kandang burung tidak terawat..",,,,negatif,negatif,negatif,,,,,negatif,
alun alun,"Mantab oke, cuma sepi gk ada org jualan kayaknya gak boleh emang yaa jualan.
Parkirnya bayar padal aset nya untuk umum",,positif,,negatif,negatif,negatif,,,,,negatif,
alun alun,"Rame,, pas liburan juga,, liburan Deket rumah gratis pula lumayan save cuan",,,,,,,positif,positif,positif,,,positif
alun alun,"Tempatnya luas,arena bermain anak cukup banyak",positif,positif,positif,,,,,,,positif,,
alun alun,"banyak wahana, namun beberapa ada yg tdk bisa berfungsi dgn baik. Ketika sore suasana sangat ramai, mungkin orang lamongan butuh lebih banyak ruang bermain anak/taman sejenis selain di alun-alun",,positif,positif,negatif,negatif,,,,,positif,negatif,
alun alun,"Minus di tempat parkir, ada parkir di depan masjid aja, tempat cuci tangan kurang, kamar mandi bayar :(
",,negatif,negatif,negatif,negatif,negatif,,,,negatif,negatif,
alun alun,"Selain dekat dengan masjid, jajanan di sekitar sini juga ajib2. Pentol dan jus buah nya ajibb",,,,positif,positif,positif,,,,,positif,
alun alun,Bersih dan nyaman sekali buat anak bermain,,,,positif,positif,positif,,,,,positif,
alun alun,"Luas asik buat nongkrong"" bareng keluarga",,positif,positif,,,,,,,positif,,
alun alun,untuk pertama kalinya main ke Lamongan dan langsung nyobain bianglala Alun-Alun Lamongan seru banget apalagi tiket naiknya masi gratis wkwk.,positif,positif,positif,,,,,,,positif,,
alun alun,"Bersih, tertata rapi Dan bersahabat",,,,positif,positif,positif,,,,,positif,
alun alun,"Bisa dibilang taman bermain yg cukup nyaman buat anak-anak,empat sampah cukup banyak tersedia disana.",,,,positif,positif,positif,,,,,positif,
alun alun,"Sangat baik alon2 dijadikan tempat rekreasi kluarga, gratis  dan ada permainan ajak.
Yg penting pihak pemda dan pengunjung menjaga kebersihan, terutama toilet yg sudah bagus.
Sayangnya pas ada kumandang adzan magrib, baik laki maupun wanitanya masih bercengkerama.",positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"tempatnya luas dan nyaman. banyak tempat bermain anak, ada dermulun gratis, juga ada free wifi. disebelah alun2 banyak streetfood yang enak2 pada hari minggu pagi. suasannya ramai dan cocok untuk car free day",,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun," playground beberapa ada yang rusak, prosotan ada yang bolong . Kalo minggu ramai CFD disini. Semoga makin ditingkatkan kebersihannya",,,,negatif,negatif,negatif,,,,,negatif,
alun alun,"cocok untuk bersantai bersama keluarga siang/malam, tempat luas ada playground, sarana olah raga, kandang burung, air mancur. dekat pusat perbelanjaan.. perlu kepedulian dari pihak pengelola dan pengunjung agar sarana fasilitas awet.",,positif,positif,positif,,,,,,positif,,
alun alun,Taman sudah fasilitas pendukung sudah baik. Hanya saja fasilitas seperti kolam atau air mancur tidak terawat dengan baik sehingga tumbuh jentik nyamuk yang sangatvd mungkinkan bisa menjadi sumber penyakit. Dekorasi dan fasilitas sudah sangat baik. Semoga bisa terus d tingkatkan,,,,negatif,negatif,negatif,,,,,negatif,
alun alun,"banyak permainan anak"" yg perlu perbaikan",,,,negatif,negatif,negatif,,,,,negatif,
alun alun,Bagus.... bersih......,,,,positif,positif,positif,,,,,positif,
alun alun,"Suka bangeeet, anti macet-macet club, jalan nya luas, , ada banyak mainan,",positif,positif,positif,,,,positif,positif,positif,positif,,positif
alun alun,Senang di alun2 lamongan biasanya ke sini nongkrong sama suami banyak tempat untuk duduk,,,,positif,positif,positif,,,,,positif,
alun alun,masih ada permainan yg tak terawat,,,,negatif,negatif,negatif,,,,,negatif,
alun alun,"saat ini fasilitas-fasilitas banyak yang rusak namun tidak dilakukan perbaikan maupun peningkatan. Kondisi pandemi saat ini mungkin sebagai alasan menunda perbaikannya, namun kami yg pernah menjadi warga Lamongan berharap agar dapat direalisasikan dan tentunya tetap memperhatikan aspek kesehatan.",,,,negatif,negatif,negatif,,,,,negatif,
alun alun,Tempat anak sekolah berlatih kokulikuler dan tempat anak bermain,,positif,positif,,,,,,,positif,,
alun alun," sarana untuk cuci tangan tidak berfungsi.

Jadi buat yang mau nongkrong disana jangan lupa bawa hand sanitizer dan tisu sendiri ya...",,,,positif,negatif,negatif,,,,,negatif,
alun alun,"Alun alun kota lamongan mantap ......kota lamongan
Selalu ramai muda mudi pd nongkrong
Jika pagi banyak yang joging atau pun mencari udara segar  disini .
Alun alun kota lamongan lebih cocok di sebut dengan taman kota
Disekitar Alun alun kota lamongan juga banyak pedagang yang menjajakan dagangannya yang khas dengan lamongan
Alun alun kota lamongan sangat cocok untuk bersantai ,disini terdapat spot foto untuk berswa foto....dekat dengan masjid agung kota lamongan",,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,Tempat yang cocok untuk bersantai bersama keluarga.,,positif,positif,positif,,,,,,positif,,
alun alun,"Sebuah tempat yang nyaman untuk sejenak rehat. Dan bisa berlama bersama keluarga.

Ditengah kota..
Tapi nyaman sekalipun di tengah hari.
Sebab rindang nya pohon yang mulai meninggi..

Tata kota yang lumayan bagus.
Demikian",,,,positif,positif,positif,,,,,positif,
alun alun,"Taman bagus, alun-alun nyaman untuk ngemong anak",positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Sama seperti alun alun di kota lainnya, cuma kalau kemarin saya lewat dan mengitari alun alun lamongan tampak lebih bersih dari sampah aja sih, semoga kesadaran dari setiap warga sekitar meningkat akan dampak buruk dari buang sampah sembarangan",,,,positif,positif,positif,,,,,positif,
alun alun,Bagus dan bersih alun2nya. Tertata dengan rapih juga baik parkir maupun pedagang kaki limanya. Sholat di masjid agung juga nyaman banget. Mantablah Lamongan,,,,positif,positif,positif,,,,,positif,
alun alun,Mungkin bisa disediakan cafetaria buat umkm2 Lamongan.  Atau ditata lagi tempat buat penjual makanannya. Biar bisa jualan tiap hari kaya di alun-alun Batu Malang.,,,,negatif,negatif,negatif,,,,,negatif,
alun alun,Rekomen bgt bagi yang gabut-gabut pengen duduk² santai. Atau para buibu yang mencari rekreasi murmer untuk anak-anaknya. Sekarang taman di lain alun semakin sedap di pandang. Jajanan - jajanan juga sudah ditertibkan jadi sudah tidak pusing lagi dengan PKL- PKL. tetap jaga kebersihan yaaa....,,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,Teman berkumpul keluarga dan mengenang masa muda . Ada bianglala dan taman bermain anak juga ada air mancur nya,,positif,positif,,,,,,,positif,,
alun alun,"Fasilitas banyak yg rusak, perlu perbaikan & perawatan , untuk area bermain anak2 bayak yg tidak terawat,",,,,negatif,negatif,negatif,,,,,negatif,
alun alun,"Fasilitas bermain anak lengkap, tapi syang masih belum tertata dengan baik dan belum di maksimalkan untuk lahan yang kosong",,positif,positif,negatif,negatif,negatif,,,,positif,negatif,
alun alun,"Tempatnya luas, ramah anak n yg jelas menyenangkan bagi keluarga...",positif,positif,positif,,,,,,,positif,,
alun alun,"Tempatnya bagus, bersih dan rindang.. Nyaman ",positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Alun-alun kota Lamongan, sekarang tempatnya lebih bersih, ada wahana bianglala, air mancur, dan lebih rapih.. hanya sayang permainan untuk anak-anak yg sudah dulu ada, banyak yg kurang terawat, seperti ayunan, perosotan, masih sama seperti tahun 2017 lalu..",positif,positif,positif,negatif,negatif,negatif,,,,positif,negatif,
alun alun,"Mampir ke alun-alun pas bianglala buka walau hampir 1/2 jam nunggu antrian tapi anak-anak tetep semangat,,jadi pengalaman tak terlupakan buat anak-anak naik bianglala pertama kali disaat malam hari
Tapi jangan lupa pake masker karena yang ga pake masker harus siap ditolak masuk walaupun sudah ikut mengantri",,positif,positif,positif,,,,,,positif,,
alun alun,ada taman bermain anak juga,,positif,positif,positif,positif,,,,,positif,positif,
alun alun,Alun2 yg bersih... banyak permainan cocok buat main sore bersama keluarga,positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Smentara ini aq ngliatnya bagus sih... Tapi bru dri depan aja, blm masuk kedlm smenjak di renovasi... Cuman ada minus 1 tapi jdnya gedhe banget... Bianglalanya GAK JELAS BLAS... aq yakin itu budgetnya selangit... Tapi fungsi & faedahnya apa coba??!! Paham sih klo niatnya ""TIRU2"" Alun2 Batu... Apa g lebih bangga jd trendsetter drpd follower???",,negatif,negatif,,,,,,,negatif,,
alun alun,"Banyak wahana bermain untuk anak, sekarang lebih luas dan cantik karena baru direnovasi. Cocok banget buat pergi malam mingguan atau pun joging saat hari minggu",positif,positif,positif,,,,,,,positif,,
alun alun,"kurang tertata rapi...
sampah masih berserakan...
taman air mancurnya tidak terawat...",,,,negatif,negatif,negatif,,,,,negatif,
alun alun,"ada beberapa fasilitas rusak dan cat mulai luntur, satpol pp ngeriung ngadem aja sii di pos, pantau pengunjung dong, untuk yg lainya bagus, pekerja pertamanan jg rajin",,,,negatif,negatif,negatif,,,,,negatif,
alun alun,"Tempatnya bagus, bersih, udara sejuk, banyak mainan cocok untuk wisata bareng temen atau kluarga. Wisata hemat heheh..",positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Bagus, bersih dan aman",,,,positif,positif,positif,,,,,positif,
alun alun,Salah satu fasilitas publik di kota Lamongan. Tempat yang hampir tidak pernah sepi setiap harinya. Bisa dijadikan sarana liburan bagi keluarga ataupun sekedar nongkrong dengan teman. Tempat yang memiliki fasilitas ckup di outdoor area.,,positif,positif,positif,positif,,,,,positif,positif,
alun alun,"Tempatnya bersih bagus n luas
Ada banyak spot foto,wahana bermain n olah raga.",positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,Mantap bersih bagus,positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Tempat ternyaman bersantai dengan keluarga, seringkali juga dijadikan tempat melaksanakan acara dengan kegiatan2 penting untuk warga Lamongan",,positif,positif,positif,,,,,,positif,,
alun alun,indah asri... kaget setelah 2 tahun di Negeri Orang.. baru kmrin sempat main ke Alun2 udah banyak yg berubah.. dan tentunya makin indah..,positif,positif,positif,,,,,,,positif,,
alun alun,"wisata gratis di Lamongan ya di alun-alun Lamongan, apalagi klo pas bianglala beroperasi jadi bisa lihat keindahan Lamongan dari atas dan gratis juga ya naiknya",positif,positif,positif,positif,positif,,,,,positif,positif,
alun alun,"Bagus, sudah tertata dengan baik, tapi sayang tidak disediakan tempat untuk mmemberi ASI",,,,negatif,negatif,negatif,,,,,negatif,
alun alun,Fasilitas nya banyak yang harus di perbaiki apa lagi untuk permainan anak anak nya takutnya membahayakan anak yang lagi main,,,,negatif,negatif,negatif,,,,,negatif,
alun alun,"tempatnya rapi, bersih, luas...nyaman .
hiburan murah meriah untuk keluarga . dekat dengan masjid juga tempat kuliner.
nice",positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,Bagus...sudah banyak pembangunan yg dilalukan... Semoga makin bagus kedepan,,,,positif,positif,positif,,,,,positif,
alun alun,"Alun-alun kota Lamongan sangat bagus, terasa meriah.
Tidak seperti alun-alun di kota saya, terasa sepi, suram, angker dan tidak terawat.
Dari segi pencahayaan pun bagus, terlihat sekali suasana kota Lamongan yang asyik.",,,,positif,positif,positif,,,,,positif,
alun alun,"Tempat luas, enak buat tongkrongan, cocok buat bawa anak kecil karena ada banyak permainan gratis, diseberang  juga banyak beraneka ragam jenis jajanan dan makanan",,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,Mantep sih.. perpaduan view masjid dengan wahana komedi putar. Lumayan luas juga. Lari  juga cukup recommend disini.,positif,positif,positif,,,,,,,positif,,
alun alun,Sudah banyak perubahan dari terakhir kali kesini. Banyak ayunan & tempat bermain lainnya yg uda mulai di cat ulang & diperbaiki.,,,,positif,positif,positif,,,,,positif,
alun alun,"Penataan alun2 terbaik, Saran: Perawatan untuk rumput harus lebih sering biar kelihatan rapi.
",,,,negatif,negatif,negatif,,,,,negatif,
alun alun,"Bagus, cuma agak kotor. Sudah ada tempat sampah, hanya kesdaran masing². Permainan anak banyak yg sudah rusak, tp anak² happy",,,,negatif,negatif,negatif,,,,,negatif,
alun alun,Cocok utk keluarga,,positif,positif,positif,,,,,,positif,,
alun alun,"Banyak yg baru mainannya, anak2 senang..",,positif,positif,,,,,,,positif,,
alun alun,"Dinas terkait banyak tidurnya.
lampu rusak mainan rusak sdh 7tahun dibiarkan. dan membahayakan anak kecil.
Kebersihan lumayan.",,,,negatif,negatif,negatif,,,,,negatif,
alun alun,Tempat luas. Banyak mainan utk anak2. Kemarin kesana jam 4an jd blm banyak penjual2 makanan...,,positif,positif,positif,positif,negatif,,,,positif,positif,
